OBJECTID,UOGID,NAME,TYPE,STUSAB,STATE,CDBG_AMT,ESG_AMT,HOME_AMT,HOPWA_AMT,TOT_AMT,YEAR,SHAPE_Length,SHAPE_Area
660,362572,GREECE,52,NY,36,464317,0,0,0,464317,2021,0.77410026626671,0.013999288354112
661,342886,SAYREVILLE,52,NJ,34,227217,0,0,0,227217,2021,0.492178588476827,0.00453831320233782
662,343216,TRENTON,51,NJ,34,2802586,252442,890749,0,3945777,2021,0.334559484859757,0.00229106583477982
663,342466,PATERSON,52,NJ,34,2604313,217787,1026962,1803541,5652603,2021,0.233996321400645,0.00240971901349566
664,342532,PERTH AMBOY,52,NJ,34,641353,0,407777,0,1049130,2021,0.176130755537946,0.00129877721496654
665,331254,PORTSMOUTH,52,NH,33,523675,0,0,0,523675,2021,0.545159966543465,0.00449159030007496
666,331284,ROCHESTER,52,NH,33,268898,0,0,0,268898,2021,0.583385006074057,0.013147583385725
667,340732,EAST ORANGE,52,NJ,34,1506829,0,513077,0,2019906,2021,0.161481338953089,0.00107796383379026
668,340780,EDISON,52,NJ,34,590251,0,0,0,590251,2021,0.654841481315654,0.00831575273572414
669,340798,ELIZABETH,52,NJ,34,1619655,0,926612,0,2546267,2021,0.316491612649603,0.00343154194491095
670,340870,EWING TOWNSHIP,52,NJ,34,242060,0,0,0,242060,2021,0.375694085910874,0.00411342744799778
671,341008,FRANKLIN TOWNSHIP,52,NJ,34,267916,0,0,0,267916,2021,0.634615564048018,0.0128898844896308
672,341110,GLOUCESTER TWP,52,NJ,34,287405,0,0,0,287405,2021,0.539495673826097,0.00636469053739088
673,341206,HAMILTON,52,NJ,34,672752,0,0,0,672752,2021,0.660527677142336,0.0110630293183452
674,341362,HOBOKEN CITY,52,NJ,34,1072812,0,0,0,1072812,2021,0.145443708602195,0.000347420579742651
675,379051,CUMBERLAND COUNTY,61,NC,37,890600,0,396328,0,1286928,2021,4.65048094740095,0.128476693427707
676,379119,MECKLENBURG COUNTY,61,NC,37,834295,0,0,0,834295,2021,5.68726041846341,0.0550138492181737
677,379183,WAKE COUNTY,61,NC,37,2138591,182490,968888,1023510,4313479,2021,11.6644872821545,0.167919953672981
678,379999,NC NONENTITLEMENT,21,NC,37,48676191,5315950,17688420,4053435,75733996,2021,144.311132703898,11.7704184907511
679,380636,FARGO,51,ND,38,773298,0,468708,0,1242006,2021,1.5288080163099,0.0153088380216728
680,380816,GRAND FORKS,51,ND,38,481762,0,0,0,481762,2021,1.10355085674053,0.00945944626433111
681,390042,AKRON,51,OH,39,6112442,524741,1472143,0,8109326,2021,1.66925389443159,0.0173009099561282
682,363180,JAMESTOWN,52,NY,36,1178810,0,338905,0,1517715,2021,0.238305653999213,0.00255434843162598
683,363300,KINGSTON,51,NY,36,725381,0,0,0,725381,2021,0.37402267884617,0.00253937907584139
684,364004,MIDDLETOWN,52,NY,36,468119,0,0,0,468119,2021,0.361640088407261,0.0014236094019146
685,391638,FAIRBORN,52,OH,39,278829,0,0,0,278829,2021,0.554095792430458,0.0037470700460666
686,392118,HAMILTON CITY,52,OH,39,1419359,0,386885,0,1806244,2021,1.06796936651897,0.00594573360928867
687,480738,BRYAN,51,TX,48,826835,0,382382,0,1209217,2021,1.16977990080411,0.0116913464384904
688,481104,COLLEGE STATION,51,TX,48,1201721,0,480625,0,1682346,2021,1.06465335259599,0.0123816941603558
689,481158,CONROE,51,TX,48,605916,0,0,0,605916,2021,2.21536330966668,0.0183523040574287
690,481206,CORPUS CHRISTI,51,TX,48,2743688,235265,1162686,0,4141639,2021,8.19964197091513,0.0447882809960097
691,481410,DENISON,51,TX,48,282946,0,0,0,282946,2021,1.85276695848248,0.00648106572142424
692,481434,DESOTO,52,TX,48,316140,0,0,0,316140,2021,0.377694972595539,0.00539388548134571
693,481680,EL PASO,51,TX,48,6360895,544716,2631084,704106,10240801,2021,2.46319081438106,0.0637945949995481
694,481824,FLOWER MOUND TOWN,52,TX,48,228003,0,0,0,228003,2021,0.876232667584395,0.0114930480311975
695,481896,FORT WORTH,51,TX,48,7368688,632124,2907320,1904234,12812366,2021,7.75776532420723,0.0878519785230354
696,481998,GARLAND,52,TX,48,2187595,193644,701303,0,3082542,2021,0.926222495175798,0.0141186596810948
697,482304,HARLINGEN,51,TX,48,912031,0,334417,0,1246448,2021,1.37177379935903,0.00948261996310913
698,482820,KILLEEN,51,TX,48,1098603,0,491222,0,1589825,2021,1.73057036976987,0.0132742524436776
699,427947,WILKES-BARRE,51,PA,42,1522259,0,341255,0,1863514,2021,0.263115474540792,0.0020336370989603
700,420588,BLOOMSBURG,51,PA,42,257730,0,0,0,257730,2021,0.175862650026254,0.0012997064672021
701,421047,CHAMBERSBURG,51,PA,42,335484,0,0,0,335484,2021,0.257387339447538,0.00188969585358168
702,421116,CHESTER,52,PA,42,1271842,0,364226,0,1636068,2021,0.285992004950418,0.00131733888968429
703,422178,ERIE,51,PA,42,3164753,270566,809159,0,4244478,2021,0.482711595965365,0.00540481406826644
704,392628,LAKEWOOD,52,OH,39,1969843,172066,0,0,2141909,2021,0.233643892395107,0.00155426083230587
705,392634,LANCASTER,52,OH,39,504178,0,0,0,504178,2021,0.910321169511114,0.00512579168184599
706,393012,MANSFIELD,51,OH,39,875908,0,293286,0,1169194,2021,1.1562474406934,0.00854247313905867
707,393054,MARIETTA,52,OH,39,405616,0,0,0,405616,2021,0.499992967351644,0.00237100395980054
708,393168,MENTOR,52,OH,39,154035,0,0,0,154035,2021,0.433717510447998,0.00783808844954424
709,393558,NEWARK,52,OH,39,739355,0,0,0,739355,2021,1.40767092247294,0.00598750265637547
710,394098,PARMA,52,OH,39,967426,0,0,0,967426,2021,0.433959385303494,0.0055965614177385
711,394998,SPRINGFIELD,51,OH,39,1859013,161931,518973,0,2539917,2021,1.46056501875745,0.00695839420450913
712,395016,STEUBENVILLE,51,OH,39,616364,0,0,0,616364,2021,0.587172512751244,0.00291834856374079
713,395214,TOLEDO,51,OH,39,7483240,645616,2179977,0,10308833,2021,1.11532536930587,0.0234578256630694
714,395454,WARREN,51,OH,39,1192655,0,738014,0,1930669,2021,1.12612085397988,0.00449428171086731
715,395874,YOUNGSTOWN,51,OH,39,3522132,303238,694297,0,4519667,2021,0.596142424272563,0.00960265879050466
716,399017,BUTLER COUNTY,61,OH,39,1293576,0,856804,0,2150380,2021,2.96311898056888,0.116489146209645
717,399025,CLERMONT COUNTY,61,OH,39,1000794,0,0,0,1000794,2021,2.00435605058697,0.122413547621471
718,399035,CUYAHOGA COUNTY,61,OH,39,4163149,352643,2725854,0,7241646,2021,3.1719541529824,0.0856073827082168
719,399049,FRANKLIN COUNTY,61,OH,39,2066989,174083,871420,0,3112492,2021,13.249322432182,0.0877437054415676
720,399061,HAMILTON COUNTY,61,OH,39,3395025,290496,1507700,0,5193221,2021,4.1761445109662,0.0796496843146192
721,399085,LAKE COUNTY,61,OH,39,1408602,0,450691,0,1859293,2021,1.97760618987987,0.05567549233511
722,399151,STARK COUNTY,61,OH,39,1438732,0,890793,0,2329525,2021,5.48291875034572,0.145548170693986
723,399153,SUMMIT COUNTY,61,OH,39,981336,0,424134,0,1405470,2021,3.43631492519603,0.089914292394397
724,399165,WARREN COUNTY,61,OH,39,718082,0,0,0,718082,2021,2.06897816287646,0.107179654378117
725,400918,EDMOND,52,OK,40,519833,0,0,0,519833,2021,0.961926886622994,0.02265159751902
726,400966,ENID,52,OK,40,469150,0,0,0,469150,2021,0.985992727329615,0.0192688986116411
727,401734,LAWTON,51,OK,40,705671,0,366488,0,1072159,2021,1.23251446479483,0.0206289274244978
